,City,Country,Latitude,Longitude,Temperature,Cloudiness,Humidity,Maximum temperature,Wind speed
0,tasiilaq,gl,57.02541113713983,-36.62984842866669,10.35,100,93,10.35,7.09
1,upernavik,gl,89.1640392901983,-46.97419047698176,0.65,100,95,0.65,6.09
2,khatanga,ru,85.59933278916682,94.66534067280668,0.45,100,97,0.45,7.77
3,saint george,bm,31.398710681988675,-58.427677410545854,24.45,100,67,24.45,4.9
4,atuona,pf,-11.220815011047108,-141.7248715478304,26.55,19,75,26.55,8.07
5,mahebourg,mu,-31.21892018838315,64.46446124495236,15.05,22,65,15.05,9.56
6,avarua,ck,-24.493762267957806,-159.06110777287233,19.25,22,67,19.25,4.85
7,hailar,cn,48.851106529305696,118.9687671670585,17.75,57,69,17.75,1.96
8,san luis,mx,29.084109508089327,-114.29503094742854,26.35,0,50,26.35,4.13
9,nikolskoye,ru,34.45399184928644,174.0315068228635,23.35,100,92,23.35,6.76
10,provideniya,ru,56.71124772009813,-177.02651698655163,8.95,100,93,8.95,3.35
11,bluff,nz,-59.04315717910824,164.51422683787933,3.15,100,98,3.15,6.32
12,ushuaia,ar,-87.50223244555754,-88.01600109462706,-39.45,100,77,-39.45,9.02
13,taksimo,ru,55.029620154310805,115.64206868622409,14.95,4,58,14.95,1.58
14,cimislia,md,46.56227204751579,28.979238053898484,20.0,0,68,20.0,1.5
15,taolanaro,mg,-84.01342021624387,64.93245169068382,-53.65,88,97,-53.65,4.46
16,barentsburg,sj,89.99812741556565,10.452522963294228,0.65,100,95,0.65,6.33
17,nishihara,jp,18.172662792073453,133.41448303221426,29.15,93,79,29.15,6.33
18,qaanaaq,gl,77.97311366063062,-75.33286102923402,3.95,100,89,3.95,4.98
19,chuy,uy,-47.78827206908418,-40.9879915253033,-1.95,100,75,-1.95,7.39
20,rikitea,pf,-77.88106787096423,-128.57233380782395,-27.95,100,91,-27.95,5.03
21,qaqortoq,gl,62.27304813532385,-45.360472680673695,-3.45,1,92,-3.45,2.67
22,tasiilaq,gl,76.37948914871109,-39.788448200806414,-8.65,0,81,-8.65,3.76
23,cape town,za,-60.36934040750617,-2.856523012600519,-24.85,49,92,-24.85,3.6
24,amderma,ru,86.59476979967471,64.42067522859625,0.55,100,97,0.55,5.66
25,pabrade,lt,54.8337386536673,25.692584096408922,18.17,0,42,18.33,4.6
26,bluff,nz,-85.41430188236812,153.8257112473974,-43.95,6,92,-43.95,8.04
27,yellowknife,ca,72.9099141097812,-100.94871389208515,3.35,100,88,3.35,1.65
28,bethel,us,56.93277683135136,-166.6161330567367,11.55,95,86,11.55,2.4
29,henties bay,na,-22.823397658697132,9.079650434179285,15.65,56,84,15.65,7.59
30,georgetown,sh,-21.304835387833748,-22.797383480395553,22.95,0,74,22.95,4.01
31,caravelas,br,-24.019468471004473,-25.54761484510908,20.85,0,62,20.85,1.28
32,punta arenas,cl,-55.98517921200516,-94.96379213838283,4.55,100,91,4.55,7.34
33,kapaa,us,31.603492954061736,-157.1557293995916,23.55,98,83,23.55,1.98
34,port alfred,za,-81.8338403797066,53.72860024309912,-55.85,90,100,-55.85,3.95
35,qaanaaq,gl,82.39762655289888,-79.367754573865,4.85,89,76,4.85,4.57
36,ancud,cl,-42.173361675808344,-79.31853548385678,9.85,56,84,9.85,7.46
37,souillac,mu,-52.389358129172244,72.72789464117429,0.15,20,62,0.15,5.03
38,busselton,au,-36.84822289314543,97.2028353745311,13.55,0,90,13.55,9.17
39,pevek,ru,71.00585329938062,169.81590867492088,3.45,74,89,3.45,3.15
40,faanui,pf,-5.594864355231181,-149.97773797849428,26.95,26,79,26.95,7.22
41,kapaa,us,21.16525423121712,-173.86972989543239,27.25,0,80,27.25,8.71
42,urengoy,ru,66.45604130416382,77.81134930125319,16.35,34,69,16.35,6.11
43,rikitea,pf,-45.69699190576325,-132.41122940159218,6.85,10,69,6.85,6.25
44,biak,id,0.5368462058256114,135.7612363840704,28.55,100,76,28.55,6.67
45,bethel,us,54.98557070821025,-165.558594684253,10.35,100,95,10.35,5.98
46,muriti,tz,-1.1669533872080677,32.889115502199274,23.55,87,61,23.55,1.5
47,punta arenas,cl,-75.71443983775274,-98.96554098286084,-15.45,100,94,-15.45,7.5
48,butaritari,ki,23.154403369207344,161.58487090221138,27.85,100,80,27.85,5.02
49,kapaa,us,16.820163714122316,-173.01436296489845,27.85,16,80,27.85,8.8
50,halalo,wf,-14.210446609823975,-179.05090511444098,27.25,48,83,27.25,9.86
51,tasiilaq,gl,78.93005763159081,-39.46352534138592,-6.25,16,83,-6.25,5.34
52,punta arenas,cl,-82.49447789387926,-104.20386109062912,-27.05,100,99,-27.05,6.0
53,tasiilaq,gl,84.51773535660817,-39.730505025990425,0.85,61,94,0.85,2.31
54,hobart,au,-51.630949831620924,150.5936907498487,3.85,95,74,3.85,11.47
55,noyabrsk,ru,62.94947072620468,74.81831403960345,18.85,100,67,18.85,2.89
56,tiksi,ru,87.05557081925392,121.90693473082132,0.45,100,94,0.45,7.53
57,yellowknife,ca,86.91152707184617,-98.34205125365645,0.95,66,91,0.95,5.46
58,ribeira grande,pt,34.91747488179722,-40.827534109377694,24.35,81,84,24.35,9.93
59,georgetown,sh,-3.341056610108623,-15.367673998975931,24.15,2,77,24.15,7.82
60,mataura,pf,-68.6736971894862,-153.76109334396008,-21.75,97,99,-21.75,4.68
61,mar del plata,ar,-55.78699666503214,-44.49395808479227,-8.05,100,72,-8.05,4.24
62,boende,cd,-2.0491968421851823,21.43243598630869,22.45,77,91,22.45,1.15
63,ushuaia,ar,-76.54539667624809,-41.22587994096341,-35.05,1,75,-35.05,4.32
64,norman wells,ca,74.24530378743236,-118.6206584808875,1.45,80,95,1.45,5.29
65,arraial do cabo,br,-29.83458531620795,-33.00573441284922,19.75,58,84,19.75,6.37
66,saint-francois,gp,21.738187259658943,-48.49777952814395,26.35,13,71,26.35,4.99
67,jamestown,sh,-9.990729449897401,-4.8254068411142725,21.65,94,73,21.65,6.49
68,husavik,is,75.48543470733225,-9.216344207924351,0.45,100,98,0.45,3.65
